,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
176,261,2,relative,2D,1,negative,2D-N,0,0.5,0.978127043014,0.814639148832,1.0571979554,11,8.625,10.0,7.25
177,261,2,relative,2D,1,negative,2D-N,1,0.65625,1.7839069911,1.64190520447,1.0571979554,11,8.625,10.0,7.25
178,261,2,relative,2D,1,negative,2D-N,2,0.65625,1.53523839092,1.66593705936,1.0571979554,9,8.625,10.0,7.25
179,261,2,relative,2D,1,negative,2D-N,3,0.78125,0.95302597424,0.782053582879,1.0571979554,9,8.625,10.0,7.25
180,261,2,relative,2D,1,negative,2D-N,4,0.8125,1.23438197027,1.20118542495,1.0571979554,10,8.625,10.0,7.25
181,261,2,relative,2D,1,negative,2D-N,5,0.875,0.723144989429,0.583281630564,1.0571979554,9,8.625,10.0,7.25
182,261,2,relative,2D,1,negative,2D-N,6,0.875,1.29344330856,1.03540635817,1.0571979554,2,8.625,10.0,7.25
183,261,2,relative,2D,1,negative,2D-N,7,0.84375,0.703593649857,0.733175233949,1.0571979554,8,8.625,10.0,7.25
184,262,1,absolute,1D,1,negative,1D-C,0,0.65625,1.505,1.66,0.96375,14,8.75,9.5,8.0
185,262,1,absolute,1D,1,negative,1D-C,1,0.8125,1.11825,0.946,0.96375,9,8.75,9.5,8.0
186,262,1,absolute,1D,1,negative,1D-C,2,0.78125,1.1975,1.318,0.96375,8,8.75,9.5,8.0
187,262,1,absolute,1D,1,negative,1D-C,3,0.8125,1.02225,0.896,0.96375,7,8.75,9.5,8.0
188,262,1,absolute,1D,1,negative,1D-C,4,0.875,0.79925,0.52,0.96375,6,8.75,9.5,8.0
189,262,1,absolute,1D,1,negative,1D-C,5,0.84375,1.05575,0.848,0.96375,7,8.75,9.5,8.0
190,262,1,absolute,1D,1,negative,1D-C,6,0.875,0.8315,0.722,0.96375,9,8.75,9.5,8.0
191,262,1,absolute,1D,1,negative,1D-C,7,0.9375,0.86425,0.8,0.96375,10,8.75,9.5,8.0
192,263,0,relative,1D,1,negative,1D-C,0,0.375,0.7660625,0.8135,1.0175,14,8.25,11.5,5.0
193,263,0,relative,1D,1,negative,1D-C,1,0.3125,0.7823125,0.654,1.0175,14,8.25,11.5,5.0
194,263,0,relative,1D,1,negative,1D-C,2,0.65625,0.9635625,0.906,1.0175,11,8.25,11.5,5.0
195,263,0,relative,1D,1,negative,1D-C,3,0.65625,1.5315,1.676,1.0175,7,8.25,11.5,5.0
196,263,0,relative,1D,1,negative,1D-C,4,0.71875,0.8819375,0.76,1.0175,5,8.25,11.5,5.0
197,263,0,relative,1D,1,negative,1D-C,5,0.71875,1.0368125,0.929,1.0175,7,8.25,11.5,5.0
198,263,0,relative,1D,1,negative,1D-C,6,0.78125,1.01675,1.0915,1.0175,1,8.25,11.5,5.0
199,263,0,relative,1D,1,negative,1D-C,7,0.78125,1.351,1.31,1.0175,7,8.25,11.5,5.0
200,264,3,absolute,2D,1,positive,2D-N,0,0.78125,0.769833995647,0.814639148832,0.636396103068,16,12.5,16.0,9.0
201,264,3,absolute,2D,1,positive,2D-N,1,0.84375,1.3278618126,0.977566978599,0.636396103068,16,12.5,16.0,9.0
202,264,3,absolute,2D,1,positive,2D-N,2,0.8125,0.993859761576,0.651711319066,0.636396103068,16,12.5,16.0,9.0
203,264,3,absolute,2D,1,positive,2D-N,3,0.9375,0.424019676967,0.374734008463,0.636396103068,16,12.5,16.0,9.0
204,264,3,absolute,2D,1,positive,2D-N,4,0.875,0.426056274839,0.374734008463,0.636396103068,16,12.5,16.0,9.0
205,264,3,absolute,2D,1,positive,2D-N,5,0.9375,0.498151839511,0.394285348035,0.636396103068,16,12.5,16.0,9.0
206,264,3,absolute,2D,1,positive,2D-N,6,0.84375,1.13866187028,0.766086655562,0.636396103068,0,12.5,16.0,9.0
207,264,3,absolute,2D,1,positive,2D-N,7,0.96875,0.966487886175,0.737411357523,0.636396103068,4,12.5,16.0,9.0
